update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,518.913739871213,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9298180937767029,-0.09061381313949823,-0.014579295879229903,0.0019654826464829966,0.03349200722425112,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1359.1574033345337,5,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683,243.125,26.62676050517599,140.0,250.0,1.9256195276975632,-0.06378833437338471,-0.02651011454872787,0.0014463834813795984,0.029033718912054036,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,-1862.2776831094682,4,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683,243.125,26.62676050517599,140.0,250.0,1.9386048913002014,-0.05034846579656005,-0.008648502873256803,4.3361955704313004e-05,0.005803907962312066,0.03099999949336052,0.12006248177022365,0.0,0.4959999918937683
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1914.7027088234363,5,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885,246.9375,11.861011497760215,201.0,250.0,1.9379008561372757,-0.03589739673770964,-0.015941274003125727,0.0005018218816985609,0.011948867974911046,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1399.0743549346737,6,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885,246.9375,11.861011497760215,201.0,250.0,1.9420656859874725,-0.029278861125931144,-0.005742215318605304,1.6550703776374576e-05,0.00329743592704491,0.017274999991059303,0.06690578727110595,0.0,0.27639999985694885
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1192.629216528273,8,0.011874999850988388,0.04599167665909359,0.0,0.1899999976158142,248.4375,6.051536478449089,225.0,250.0,1.9428328275680542,-0.021361821331083775,-0.009566652122884989,0.0001815390801311878,0.004335189455685908,0.011874999850988388,0.04599167665909359,0.0,0.1899999976158142
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
