Wall time,Step,Value
1753808125.644568,2490368,644.0
1753808148.914891,2506752,645.0
1753808174.5887969,2523136,645.0
1753808199.9084492,2539520,645.0
1753808223.0326006,2555904,645.0
1753808248.3517857,2572288,645.0
1753808273.8430908,2588672,645.0
1753808299.109779,2605056,645.0
1753808321.9456859,2621440,646.0
1753808347.372164,2637824,646.0
1753808372.9003448,2654208,646.0
1753808395.8555355,2670592,646.0
1753808421.0259519,2686976,646.0
1753808446.2661912,2703360,646.0
1753808471.8231235,2719744,646.0
1753808494.7370155,2736128,646.0
1753808520.411673,2752512,646.0
1753808545.4036431,2768896,646.0
1753808568.0262074,2785280,647.0
1753808593.759164,2801664,647.0
1753808620.4003842,2818048,646.0
1753808648.7922313,2834432,646.0
1753808671.9437053,2850816,646.0
1753808697.367141,2867200,646.0
1753808722.640911,2883584,646.0
1753808748.1516516,2899968,646.0
1753808770.5871274,2916352,647.0
1753808797.3660274,2932736,646.0
1753808822.6742444,2949120,646.0
1753808845.5640545,2965504,647.0
1753808871.4656687,2981888,647.0
1753808897.4754088,2998272,647.0
1753808919.658702,3014656,647.0
1753808946.5932999,3031040,647.0
1753808972.382863,3047424,647.0
1753808997.8689644,3063808,647.0
1753809020.679456,3080192,647.0
1753809046.0560968,3096576,647.0
1753809071.8843052,3112960,647.0
1753809094.2725272,3129344,647.0
1753809119.8621452,3145728,647.0
1753809145.3686256,3162112,647.0
1753809170.8604023,3178496,647.0
1753809193.5314448,3194880,648.0
1753809219.149372,3211264,648.0
1753809245.1726513,3227648,648.0
1753809267.574216,3244032,648.0
1753809293.4261568,3260416,648.0
1753809319.573116,3276800,648.0
1753809344.8286705,3293184,648.0
1753809367.123389,3309568,648.0
1753809392.885159,3325952,648.0
1753809418.3591173,3342336,648.0
1753809440.8849635,3358720,648.0
1753809466.5989988,3375104,648.0
1753809492.095089,3391488,648.0
1753809514.9781609,3407872,649.0
1753809541.2488904,3424256,648.0
1753809567.5397327,3440640,648.0
1753809593.9122207,3457024,648.0
1753809616.7585797,3473408,648.0
1753809642.2078042,3489792,648.0
1753809667.7526612,3506176,648.0
1753809690.7606978,3522560,649.0
1753809716.3267667,3538944,649.0
1753809742.09377,3555328,649.0
1753809767.707339,3571712,649.0
1753809790.4162285,3588096,649.0
1753809816.18732,3604480,649.0
1753809841.787982,3620864,649.0
1753809864.6348724,3637248,649.0
1753809890.1358504,3653632,649.0
1753809915.7486641,3670016,649.0
1753809941.2513266,3686400,649.0
1753809963.9929657,3702784,649.0
1753809989.7658448,3719168,649.0
1753810015.4170117,3735552,649.0
1753810038.0303738,3751936,649.0
1753810063.8273058,3768320,649.0
1753810089.5177703,3784704,649.0
1753810112.1780188,3801088,650.0
1753810137.8902612,3817472,649.0
1753810163.841876,3833856,649.0
1753810189.2633674,3850240,649.0
1753810212.1990163,3866624,650.0
1753810237.6269495,3883008,650.0
1753810263.5229497,3899392,650.0
1753810285.9548285,3915776,650.0
1753810316.1354418,3932160,649.0
1753810342.7004073,3948544,649.0
1753810369.2936015,3964928,649.0
1753810392.976674,3981312,649.0
1753810419.2670128,3997696,649.0
1753810445.8659675,4014080,649.0
1753810472.4541678,4030464,649.0
1753810495.4017303,4046848,649.0
1753810521.6219592,4063232,649.0
1753810550.0443852,4079616,649.0
1753810579.033253,4096000,648.0
1753810608.359081,4112384,648.0
1753810632.2165809,4128768,648.0
1753810658.3084726,4145152,648.0
1753810683.4245136,4161536,648.0
1753810709.052445,4177920,648.0
1753810744.1935854,4194304,647.0
1753810779.0878055,4210688,646.0
1753810806.398259,4227072,646.0
1753810831.953059,4243456,646.0
1753810858.4879847,4259840,646.0
1753810891.3335705,4276224,645.0
1753810915.9619594,4292608,645.0
1753810944.4753373,4308992,645.0
1753810971.41833,4325376,644.0
1753810998.7658117,4341760,644.0
1753811022.0312877,4358144,644.0
1753811047.8595722,4374528,644.0
1753811077.7071862,4390912,644.0
1753811107.5640776,4407296,644.0
1753811137.2422957,4423680,643.0
1753811165.647719,4440064,643.0
1753811198.4935417,4456448,642.0
1753811231.173541,4472832,642.0
1753811261.1124892,4489216,641.0
1753811291.4779184,4505600,641.0
1753811321.8733842,4521984,640.0
1753811352.4362679,4538368,640.0
1753811382.3466704,4554752,639.0
1753811405.6763203,4571136,640.0
1753811431.859411,4587520,640.0
1753811458.087677,4603904,640.0
1753811480.9923224,4620288,640.0
1753811507.3324125,4636672,640.0
1753811533.474199,4653056,640.0
1753811559.6248071,4669440,640.0
1753811582.5545125,4685824,640.0
1753811608.6819181,4702208,640.0
1753811635.4380887,4718592,640.0
1753811661.1770263,4734976,640.0
1753811684.5048413,4751360,640.0
1753811710.5008798,4767744,640.0
1753811736.9077485,4784128,640.0
1753811759.7305543,4800512,640.0
1753811785.9694917,4816896,640.0
1753811812.6867373,4833280,640.0
1753811838.1304142,4849664,640.0
1753811861.4420214,4866048,640.0
1753811887.829162,4882432,640.0
1753811913.7652395,4898816,640.0
1753811937.133019,4915200,640.0
1753811964.4737916,4931584,640.0
1753811990.953135,4947968,640.0
1753812017.0317569,4964352,640.0
1753812040.483205,4980736,640.0
1753812066.6334977,4997120,640.0
1753812092.8107426,5013504,640.0
1753812119.184695,5029888,640.0
1753812142.4589372,5046272,640.0
1753812168.9253418,5062656,640.0
1753812195.0349607,5079040,640.0
1753812218.4941883,5095424,640.0
1753812244.7819083,5111808,640.0
1753812270.9069748,5128192,640.0
1753812297.1970406,5144576,640.0
1753812320.4088364,5160960,640.0
1753812346.7797003,5177344,640.0
1753812372.968199,5193728,640.0
1753812399.442094,5210112,640.0
1753812422.5716639,5226496,640.0
1753812448.7928479,5242880,640.0
1753812475.4696295,5259264,640.0
1753812498.568148,5275648,640.0
1753812524.7877204,5292032,640.0
1753812551.5403385,5308416,640.0
1753812577.9224036,5324800,640.0
1753812600.9136517,5341184,640.0
1753812628.2113464,5357568,640.0
1753812655.6136227,5373952,640.0
1753812682.9574208,5390336,640.0
1753812707.1479108,5406720,640.0
1753812734.49168,5423104,640.0
1753812762.967036,5439488,640.0
1753812792.2259712,5455872,639.0
1753812819.3924634,5472256,639.0
1753812843.9790735,5488640,639.0
1753812872.5269086,5505024,639.0
1753812900.3673162,5521408,639.0
1753812926.442247,5537792,639.0
1753812951.9016483,5554176,639.0
1753812978.0160558,5570560,639.0
1753813003.8130429,5586944,639.0
1753813026.6515265,5603328,639.0
1753813052.2335224,5619712,639.0
1753813078.2800925,5636096,639.0
1753813103.8467557,5652480,639.0
1753813126.840772,5668864,639.0
1753813152.7640536,5685248,639.0
1753813180.316935,5701632,639.0
1753813208.9871454,5718016,639.0
1753813236.2992475,5734400,639.0
1753813266.1884172,5750784,638.0
1753813296.5139256,5767168,638.0
1753813326.4890783,5783552,638.0
1753813356.7685454,5799936,637.0
1753813387.0822592,5816320,637.0
1753813416.339552,5832704,637.0
1753813439.4306324,5849088,637.0
1753813465.751216,5865472,637.0
1753813491.8742394,5881856,637.0
1753813514.5452747,5898240,637.0
1753813539.9096494,5914624,637.0
1753813567.34105,5931008,637.0
1753813594.7908976,5947392,637.0
1753813619.515315,5963776,637.0
1753813647.0210924,5980160,637.0
1753813674.473996,5996544,637.0
1753813702.4013145,6012928,637.0
1753813732.3953736,6029312,636.0
1753813760.1799045,6045696,636.0
1753813790.0732028,6062080,636.0
1753813820.459292,6078464,636.0
1753813850.1840754,6094848,635.0
1753813877.5442283,6111232,635.0
1753813900.5918055,6127616,635.0
1753813926.4550192,6144000,635.0
1753813951.9886029,6160384,635.0
1753813977.8711326,6176768,635.0
1753814000.5541706,6193152,636.0
1753814026.1119788,6209536,636.0
1753814052.1279507,6225920,636.0
1753814074.7856612,6242304,636.0
1753814102.4776163,6258688,636.0
1753814129.839317,6275072,636.0
1753814155.970808,6291456,636.0
1753814179.2782018,6307840,636.0
1753814203.8929894,6324224,636.0
1753814230.730365,6340608,636.0
1753814255.3807092,6356992,636.0
1753814278.0213215,6373376,636.0
1753814303.8229792,6389760,636.0
1753814329.2929,6406144,636.0
1753814351.9509177,6422528,636.0
1753814377.38381,6438912,636.0
1753814403.0627067,6455296,636.0
1753814429.5508158,6471680,636.0
1753814453.0146165,6488064,636.0
1753814480.2628748,6504448,636.0
1753814507.9049578,6520832,636.0
1753814534.615659,6537216,636.0
1753814557.0130594,6553600,636.0
1753814583.174209,6569984,636.0
1753814608.8661253,6586368,636.0
1753814631.3256712,6602752,636.0
1753814657.3498063,6619136,636.0
1753814683.4538221,6635520,636.0
1753814709.420964,6651904,636.0
1753814733.6965563,6668288,636.0
1753814759.8012288,6684672,636.0
1753814785.4566472,6701056,636.0
1753814809.3624299,6717440,637.0
1753814835.3366063,6733824,637.0
1753814861.0199246,6750208,637.0
1753814887.039598,6766592,637.0
1753814909.798157,6782976,637.0
1753814935.7409065,6799360,637.0
1753814961.6325088,6815744,637.0
1753814984.6952643,6832128,637.0
1753815010.3104477,6848512,637.0
1753815036.0590572,6864896,637.0
1753815061.5758498,6881280,637.0
1753815084.6991813,6897664,637.0
1753815110.5881367,6914048,637.0
1753815136.4239707,6930432,637.0
1753815159.1107583,6946816,637.0
1753815184.9398115,6963200,637.0
1753815211.2415476,6979584,637.0
1753815238.668065,6995968,637.0
1753815262.2289116,7012352,637.0
1753815288.038937,7028736,637.0
1753815313.9607708,7045120,637.0
1753815339.533813,7061504,637.0
1753815362.9220638,7077888,637.0
1753815390.3256185,7094272,637.0
1753815416.104181,7110656,637.0
1753815440.8742325,7127040,637.0
1753815464.8796484,7143424,637.0
1753815489.564645,7159808,637.0
1753815515.5661864,7176192,637.0
1753815538.442836,7192576,637.0
1753815563.7891192,7208960,638.0
1753815590.1534162,7225344,637.0
1753815615.395137,7241728,637.0
1753815639.0393894,7258112,638.0
1753815664.4144034,7274496,638.0
1753815693.1081173,7290880,637.0
1753815722.9416528,7307264,637.0
1753815753.0353653,7323648,637.0
1753815782.9019954,7340032,637.0
1753815810.8950443,7356416,637.0
1753815840.3712478,7372800,636.0
1753815867.362801,7389184,636.0
1753815892.7746267,7405568,636.0
1753815919.721112,7421952,636.0
1753815945.0310738,7438336,636.0
1753815972.887581,7454720,636.0
1753816000.9054494,7471104,636.0
1753816031.150584,7487488,636.0
1753816062.3325179,7503872,636.0
1753816092.025162,7520256,635.0
1753816122.1075792,7536640,635.0
1753816149.749549,7553024,635.0
1753816179.667603,7569408,635.0
1753816208.9511986,7585792,635.0
1753816234.8929994,7602176,635.0
1753816260.8897965,7618560,635.0
1753816284.6236901,7634944,635.0
1753816309.9874108,7651328,635.0
1753816335.8826735,7667712,635.0
1753816361.6012993,7684096,635.0
1753816385.0975983,7700480,635.0
1753816411.2391083,7716864,635.0
1753816438.977148,7733248,635.0
1753816465.0479167,7749632,635.0
