update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
20,40960,1100.7503858422176,38,0.28731831353764203,0.33486471821142816,0.0,0.9437500238418579,47.372093023255815,21.082366991038626,4.0,64.0,1.7728045135736465,0.14256875682622194,-0.008200888099963777,0.018374373263213784,0.05431074579238597,0.28731831353764203,0.33486471821142816,0.0,0.9437500238418579
21,43008,957.4882664437043,40,0.33411458258827526,0.3863086157847898,0.0,0.9859374761581421,43.5,24.169540059063323,1.0,64.0,1.7527064122259617,0.12353952648118138,-0.020556854320602724,0.022295920178294182,0.06386965021596959,0.33411458258827526,0.3863086157847898,0.0,0.9859374761581421
22,45056,1131.7250495874573,42,0.2714176824906977,0.31740289586076853,0.0,0.9437500238418579,48.34146341463415,19.702184794161678,4.0,64.0,1.7732594795525074,0.1388809303753078,0.009024112048791721,0.014230355765903369,0.05235511937212027,0.2714176824906977,0.31740289586076853,0.0,0.9437500238418579
23,47104,982.9776039606861,44,0.23668154861245835,0.3274770825867547,0.0,0.971875011920929,50.04761904761905,20.297727272438753,2.0,64.0,1.8173580281436443,0.12166541209444404,0.0036086393665755168,0.013730885926634073,0.0440495269729079,0.23668154861245835,0.3274770825867547,0.0,0.971875011920929
24,49152,1145.5723613826883,46,0.2128515610471368,0.33382008432487864,0.0,0.9859374761581421,51.175,20.719420238027897,1.0,64.0,1.8315270952880383,0.10989465308375657,0.009197144652716815,0.012110302981454879,0.03858149904943377,0.2128515610471368,0.33382008432487864,0.0,0.9859374761581421
25,51200,1149.3573239974658,48,0.18367598558727063,0.29651135201813217,0.0,0.9296875,53.18421052631579,18.122180743581804,5.0,64.0,1.818078238517046,0.11539008421823382,0.0106509674260451,0.010326905030524358,0.03964808625512736,0.18367598558727063,0.29651135201813217,0.0,0.9296875
26,53248,1171.8792395850996,49,0.3395720104808393,0.360403633802729,0.0,0.9859374761581421,43.71739130434783,22.640539864778404,1.0,64.0,1.813857302069664,0.14446117682382464,-0.02327167122348328,0.021254591265460476,0.06172460126358063,0.3395720104808393,0.360403633802729,0.0,0.9859374761581421
27,55296,1004.292370324583,51,0.3197010881874872,0.3536841895796211,0.0,0.971875011920929,45.130434782608695,22.304813962414492,2.0,64.0,1.8089874014258385,0.14112323708832264,0.0011921028781216592,0.016291966792778112,0.061579980225694816,0.3197010881874872,0.3536841895796211,0.0,0.971875011920929
28,57344,1157.5395873467967,53,0.2387576212243336,0.3069777335035141,0.0,0.9296875,50.31707317073171,18.96137154706551,5.0,64.0,1.814366701990366,0.13866553455591202,0.01637424011641997,0.010908401513006538,0.04449268337824919,0.2387576212243336,0.3069777335035141,0.0,0.9296875
29,59392,1100.8868027274004,55,0.13013392814568112,0.2621345167148142,0.0,0.8734375238418579,56.371428571428574,15.964399168660453,9.0,64.0,1.8671974055469036,0.11708445427939296,0.03807181277079508,0.00736038621107582,0.0371376745894027,0.13013392814568112,0.2621345167148142,0.0,0.8734375238418579
30,61440,908.3517490451395,57,0.22355182941366986,0.3263791732915775,0.0,0.957812488079071,50.8780487804878,20.31843464533242,3.0,64.0,1.8594162873923779,0.13324464205652475,0.009435156120161992,0.013329645851626992,0.052316303670183535,0.22355182941366986,0.3263791732915775,0.0,0.957812488079071
31,63488,916.8069379866638,60,0.17842060891357628,0.2872852918009413,0.0,0.9296875,53.810810810810814,17.65868263250571,5.0,64.0,1.8544573932886124,0.10637104138731956,0.010972666714224033,0.008392306888708845,0.03570957280490952,0.17842060891357628,0.2872852918009413,0.0,0.9296875
32,65536,1029.0890087305509,62,0.40742924696994276,0.3744956472088438,0.0,0.971875011920929,39.320754716981135,23.622641509433958,2.0,64.0,1.8262390308082104,0.16629760386422276,-0.04312865698011592,0.026009499066276476,0.07501382073737506,0.40742924696994276,0.3744956472088438,0.0,0.971875011920929
33,67584,1046.7857816405294,64,0.25788194603390163,0.3379618407495351,0.0,0.971875011920929,48.82222222222222,21.09901407795465,2.0,64.0,1.8044430203735828,0.13722447026520967,0.009490661017480306,0.015178855377598666,0.058942094346545876,0.25788194603390163,0.3379618407495351,0.0,0.971875011920929
34,69632,1375.2195071969836,65,0.32074854522943497,0.32978991985301714,0.0,0.971875011920929,45.325581395348834,20.65184369294406,2.0,64.0,1.816086757928133,0.14491241099312901,-0.012209833854285534,0.01555003720568493,0.05797980489755261,0.32074854522943497,0.32978991985301714,0.0,0.971875011920929
35,71680,998.5714846034566,67,0.2666548297486522,0.3364891975478396,0.0,0.971875011920929,48.43181818181818,21.07605031058274,2.0,64.0,1.8424336463212967,0.1711526568979025,0.01656035545602208,0.014041484420886263,0.055570570625903835,0.2666548297486522,0.3364891975478396,0.0,0.971875011920929
36,73728,994.2952704405341,69,0.2950944758431856,0.3475778819204143,0.0,0.9296875,46.48837209302326,21.699182379863306,5.0,64.0,1.8297755904495716,0.17222441779449582,0.005009059852454811,0.016248350249952637,0.05720848877543039,0.2950944758431856,0.3475778819204143,0.0,0.9296875
37,75776,1001.5089896317963,71,0.18718749973922968,0.32534052816181835,0.0,0.971875011920929,53.0,20.458494568271636,2.0,64.0,1.8218170031905174,0.1250514320563525,0.027808459446532652,0.011380758602172136,0.04767923132255141,0.18718749973922968,0.32534052816181835,0.0,0.971875011920929
38,77824,915.203618054388,74,0.3512228283545245,0.34723467452049017,0.0,0.9156249761581421,43.04347826086956,21.62622856197411,6.0,64.0,1.8114626035094261,0.15904778288677335,-0.028098898343159817,0.021118860138813034,0.06225244876243788,0.3512228283545245,0.34723467452049017,0.0,0.9156249761581421
39,79872,942.9966369124628,76,0.3876474077971476,0.40091669723104,0.0,0.9859374761581421,40.056603773584904,25.16167728034015,1.0,64.0,1.7932283207774162,0.17678007436916232,-0.012045241383020766,0.02591759490314871,0.08711206950650927,0.3876474077971476,0.40091669723104,0.0,0.9859374761581421
40,81920,1007.1521941663518,78,0.3420176621040572,0.3653087367113383,0.0,0.9859374761581421,43.54347826086956,23.01011736052599,1.0,64.0,1.7915592156350613,0.13847858854569495,-0.009949390281690285,0.020091544807655737,0.07321484180657897,0.3420176621040572,0.3653087367113383,0.0,0.9859374761581421
41,83968,1001.9388763642336,80,0.3456054702401161,0.3687492638144208,0.0,0.971875011920929,42.979166666666664,22.923322896973048,2.0,64.0,1.765201136469841,0.1557229091413319,-0.008209120926039759,0.022288917360128835,0.09314149107931613,0.3456054702401161,0.3687492638144208,0.0,0.971875011920929
42,86016,919.5646296138891,82,0.35960771206845626,0.3661019024075086,0.0,0.9437500238418579,42.361702127659576,22.973088355554705,4.0,64.0,1.762576512992382,0.16867413790896535,-0.006647664595220704,0.021802669391036034,0.07359333518637343,0.35960771206845626,0.3661019024075086,0.0,0.9437500238418579
43,88064,920.4089424142136,85,0.2893402761883206,0.3083789522639702,0.0,0.9437500238418579,47.53333333333333,19.22683310145254,4.0,64.0,1.7885256074368954,0.1901912963949144,0.016282416705507785,0.014584828779334202,0.0631885923747581,0.2893402761883206,0.3083789522639702,0.0,0.9437500238418579
44,90112,875.7356864805669,87,0.2945138893193669,0.3616329465689889,0.0,0.9859374761581421,46.53333333333333,22.84109357179633,1.0,64.0,1.781119231134653,0.1794968252070248,0.025962588231777772,0.015268753311829641,0.06846308794859439,0.2945138893193669,0.3616329465689889,0.0,0.9859374761581421
45,92160,979.5408497872362,89,0.32943891852416773,0.35648166896964734,0.0,0.957812488079071,44.61363636363637,22.608542139774304,3.0,64.0,1.7780278958380222,0.16668993839994073,0.012863425639807247,0.016187573826755397,0.07726004041175223,0.32943891852416773,0.35648166896964734,0.0,0.957812488079071
46,94208,937.8944896695976,91,0.2733664736151695,0.338441861920372,0.0,0.9296875,47.95454545454545,21.14984907044207,5.0,64.0,1.7843854762613773,0.15601317677646875,0.009045105605764547,0.016201264603296295,0.06684094702452603,0.2733664736151695,0.338441861920372,0.0,0.9296875
47,96256,991.8348613556719,93,0.32014974144597846,0.35103552029410634,0.0,0.957812488079071,44.9375,21.922597027192438,3.0,64.0,1.7666831612586975,0.16675932984799147,-0.0037303846038412303,0.018849074695026502,0.07795878457562695,0.32014974144597846,0.35103552029410634,0.0,0.957812488079071
48,98304,1042.5290262195012,95,0.42750000026490953,0.38298605736891306,0.0,0.9859374761581421,37.86666666666667,24.102189849794886,1.0,64.0,1.775393269956112,0.16313176648691297,-0.007777220284879149,0.022701481328113005,0.1054469064928392,0.42750000026490953,0.38298605736891306,0.0,0.9859374761581421
49,100352,1287.1156779674984,97,0.33446691141409035,0.3594798713865693,0.0,0.957812488079071,43.98039215686274,22.514039363776195,3.0,64.0,1.7852058224380016,0.18267421936616302,-0.0008061202534008771,0.019326690351590514,0.08078921190443586,0.33446691141409035,0.3594798713865693,0.0,0.957812488079071
50,102400,1017.3546861798123,99,0.34520348663939987,0.3733772701066673,0.0,0.957812488079071,43.25581395348837,23.56198458026691,3.0,64.0,1.7717212066054344,0.19978566747158766,0.028264122593100183,0.01606867769442033,0.06933214331333895,0.34520348663939987,0.3733772701066673,0.0,0.957812488079071
51,104448,924.6599418224077,101,0.3389627667183572,0.35751562959713606,0.0,0.957812488079071,43.829787234042556,22.487177574650836,3.0,64.0,1.8094045110046864,0.17689953232184052,0.0042009741300717,0.019905622611986473,0.09449429331587952,0.3389627667183572,0.35751562959713606,0.0,0.957812488079071
52,106496,932.3906952995645,104,0.3065824461110095,0.3551775475978927,0.0,0.971875011920929,45.829787234042556,22.334325408305766,2.0,64.0,1.8274608924984932,0.1754909991286695,0.01768188648566138,0.016508278538822196,0.07006745098848893,0.3065824461110095,0.3551775475978927,0.0,0.971875011920929
53,108544,1079.6441033575427,105,0.31589095896862923,0.33790490092316594,0.0,0.971875011920929,45.319148936170215,20.98642558536728,2.0,64.0,1.8085739091038704,0.17445486458018422,0.009565604690578766,0.017642971157329157,0.08065230550262373,0.31589095896862923,0.33790490092316594,0.0,0.971875011920929
54,110592,1212.0998388417036,107,0.26862980883855087,0.33336501888052633,0.0,0.887499988079071,48.17948717948718,20.69419811527982,8.0,64.0,1.7859469652175903,0.17428769869729877,0.017456366804253776,0.015274476536433212,0.07258302363385834,0.26862980883855087,0.33336501888052633,0.0,0.887499988079071
55,112640,1204.6293166095668,109,0.419614953654153,0.3741148071304683,0.0,0.971875011920929,38.732142857142854,23.828622548335026,2.0,64.0,1.7895000874996185,0.19636969827115536,-0.026352583678090014,0.026138057524804026,0.09242993930410276,0.419614953654153,0.3741148071304683,0.0,0.971875011920929
56,114688,1134.2340715153891,111,0.25944940745830536,0.335572714878349,0.0,0.9437500238418579,48.42857142857143,20.626084799342312,4.0,64.0,1.8095788583159447,0.1644245251081884,0.01777424744796008,0.016558326315134764,0.0693213956836901,0.25944940745830536,0.335572714878349,0.0,0.9437500238418579
57,116736,1214.15214530586,112,0.2542410734153929,0.32286355259261157,0.0,0.9437500238418579,49.476190476190474,20.278111698552134,4.0,64.0,1.8076871447265148,0.13636066508479416,0.021157554256205913,0.013026635300775524,0.06358631658434291,0.2542410734153929,0.32286355259261157,0.0,0.9437500238418579
58,118784,1244.0225408752858,114,0.4216562521457672,0.39549119331244414,0.0,0.957812488079071,38.14,24.983202356783647,3.0,64.0,1.7805475257337093,0.178311032243073,0.0001694767561275512,0.024099865404423326,0.10385829174812766,0.4216562521457672,0.39549119331244414,0.0,0.957812488079071
59,120832,1160.324200562282,116,0.32689494718896583,0.3754086773327278,0.0,0.957812488079071,44.234042553191486,23.589767675348405,3.0,64.0,1.7649876475334167,0.18173323664814234,0.017821450062911026,0.018312004540348426,0.06325767417767564,0.32689494718896583,0.3754086773327278,0.0,0.957812488079071
60,122880,1175.528967019661,118,0.4067216975227842,0.352226977427264,0.0,0.9859374761581421,39.77358490566038,22.338427428506243,1.0,64.0,1.7025557570159435,0.18088638223707676,-0.02399601296201581,0.022938159032491967,0.0833006113648029,0.4067216975227842,0.352226977427264,0.0,0.9859374761581421
61,124928,1231.2400504941265,119,0.4519211075833586,0.38066675510663905,0.0,0.9859374761581421,36.40983606557377,24.074595173335954,1.0,64.0,1.7030418552458286,0.20568143902346492,-0.02143449090362992,0.026405557058751583,0.11886987357729234,0.4519211075833586,0.38066675510663905,0.0,0.9859374761581421
62,126976,1196.3545576232948,121,0.37805397706952965,0.3610976425361952,0.0,0.9859374761581421,41.31818181818182,22.697389444676357,1.0,64.0,1.7059637941420078,0.18996333284303546,0.021453403853229247,0.018644076597411186,0.08834654318580441,0.37805397706952965,0.3610976425361952,0.0,0.9859374761581421
63,129024,1192.9742298938563,123,0.3756127467050272,0.3985368003852457,0.0,0.971875011920929,41.333333333333336,25.528658764233064,2.0,64.0,1.6968564987182617,0.1616047159768641,0.017484542200691067,0.02026269247289747,0.07738035974386213,0.3756127467050272,0.3985368003852457,0.0,0.971875011920929
64,131072,1216.1893724627428,125,0.40910966863047404,0.373436171073628,0.0,0.9859374761581421,39.60377358490566,24.000266997446843,1.0,64.0,1.6975423321127892,0.1810286301188171,0.0006407397449947894,0.020088681383640505,0.08756525669502974,0.40910966863047404,0.373436171073628,0.0,0.9859374761581421
65,133120,1256.5373854900276,126,0.1778371736015144,0.2691321944751516,0.0,0.971875011920929,53.973684210526315,16.261816500633532,2.0,64.0,1.7590112872421741,0.1456381855532527,0.04715999501058832,0.008433929084276315,0.06805202926793802,0.1778371736015144,0.2691321944751516,0.0,0.971875011920929
66,135168,1750.8193330244749,127,0.379755440775467,0.36107393140747734,0.0,0.971875011920929,41.47826086956522,23.002588824469285,2.0,64.0,1.7340452745556831,0.16680645663291216,-0.014098667961661704,0.020157105129328556,0.07198433469955098,0.379755440775467,0.36107393140747734,0.0,0.971875011920929
67,137216,1220.0452246796433,129,0.28719429477401404,0.3443440130664859,0.0,0.9859374761581421,46.97826086956522,21.46330450917766,1.0,64.0,1.7269569337368011,0.1623120498843491,0.007649972671060823,0.016241889316006564,0.07914823519251601,0.28719429477401404,0.3443440130664859,0.0,0.9859374761581421
68,139264,1223.3927277222617,131,0.3888346351062258,0.3595132471558995,0.0,0.971875011920929,40.645833333333336,22.58363122497256,2.0,64.0,1.704905092716217,0.19639702700078487,-0.013057436415692791,0.02298708021407947,0.08028843253447066,0.3888346351062258,0.3595132471558995,0.0,0.971875011920929
69,141312,1149.2227759225962,133,0.30893342682848807,0.34486982383756104,0.0,0.9437500238418579,45.58695652173913,21.397456255721167,4.0,64.0,1.7267477177083492,0.17289823899045587,0.001426879120117519,0.017590411036508158,0.08449350902836383,0.30893342682848807,0.34486982383756104,0.0,0.9437500238418579
70,143360,1202.2358947544326,134,0.26981534131548623,0.3338674623350438,0.0,0.9437500238418579,48.04545454545455,20.672725273846545,4.0,64.0,1.7116534188389778,0.12810377404093742,-0.002973563168779947,0.016742088249884546,0.062051991548548485,0.26981534131548623,0.3338674623350438,0.0,0.9437500238418579
71,145408,1193.850496257827,136,0.387437501847744,0.342701377972794,0.0,0.9859374761581421,41.0,21.55179806883871,1.0,64.0,1.69691900908947,0.1745904739946127,-0.027863219671417028,0.020747441827552393,0.07558673286879775,0.387437501847744,0.342701377972794,0.0,0.9859374761581421
72,147456,1227.4670334710945,138,0.3927389687182857,0.3824410843779005,0.0,0.9859374761581421,40.254901960784316,24.25505254601598,1.0,64.0,1.7255102023482323,0.176318502984941,-0.0038927832720219158,0.021324638597434387,0.07374992971011962,0.3927389687182857,0.3824410843779005,0.0,0.9859374761581421
73,149504,1099.9165378512462,140,0.4430719349744185,0.3749702131822493,0.0,0.971875011920929,37.18867924528302,23.877878452401973,2.0,64.0,1.73556524887681,0.1704058013856411,-0.01792377392666822,0.02565930239506997,0.08500931549358579,0.4430719349744185,0.3749702131822493,0.0,0.971875011920929
74,151552,1199.389743617669,141,0.4331249998374419,0.36709124678788063,0.0,0.971875011920929,37.85454545454545,23.27106528156464,2.0,64.0,1.7024149037897587,0.21837835805490613,-0.026953078639053274,0.022847586747957394,0.10284861196282194,0.4331249998374419,0.36709124678788063,0.0,0.971875011920929
75,153600,1149.5157466790586,143,0.3946940116584301,0.36225363491907375,0.0,0.971875011920929,40.229166666666664,22.752508637632808,2.0,64.0,1.729395966976881,0.16354409186169505,0.007323808231376461,0.022513315925607458,0.08356316578522933,0.3946940116584301,0.36225363491907375,0.0,0.971875011920929
76,155648,1175.9704009144984,145,0.3526654407089832,0.38348577556787866,0.0,0.9859374761581421,42.68627450980392,24.257192340383707,1.0,64.0,1.7247315868735313,0.1694521987810731,0.01183697309170384,0.02069619530811906,0.07400930548637802,0.3526654407089832,0.38348577556787866,0.0,0.9859374761581421
77,157696,1224.8586007616425,147,0.376363032834327,0.37870875228477374,0.0,0.971875011920929,41.170212765957444,23.82589253887207,2.0,64.0,1.7004583105444908,0.1676483149640262,-0.001245344421477057,0.02151070805848576,0.08206469819731152,0.376363032834327,0.37870875228477374,0.0,0.971875011920929
78,159744,1179.4531102030885,148,0.3988581745383831,0.35529457696122446,0.0,0.971875011920929,40.42307692307692,22.750609589336076,2.0,64.0,1.694862138479948,0.21498956391587853,0.007712176098721102,0.02031870372593403,0.08594108287942592,0.3988581745383831,0.35529457696122446,0.0,0.971875011920929
79,161792,1191.8078186240605,150,0.42575120352781737,0.3896359479853329,0.0,0.971875011920929,37.82692307692308,24.451459885506722,2.0,64.0,1.7128511853516102,0.2237629764713347,0.004988122425857,0.021649709553457797,0.08081273993646201,0.42575120352781737,0.3896359479853329,0.0,0.971875011920929
80,163840,1233.1454495366195,152,0.25221657094567324,0.30332483268226096,0.0,0.957812488079071,49.372093023255815,18.476916152404183,3.0,64.0,1.722293358296156,0.17838660022243857,0.02906480070669204,0.011651295077172108,0.06260024514670134,0.25221657094567324,0.30332483268226096,0.0,0.957812488079071
81,165888,1160.6882558127752,154,0.4214988397779288,0.3817887052636391,0.0,0.957812488079071,38.24074074074074,23.99223268228559,3.0,64.0,1.708105068653822,0.22994029335677624,-0.0028546790053951554,0.024335267808055505,0.09077951447882288,0.4214988397779288,0.3817887052636391,0.0,0.957812488079071
82,167936,1182.9609078708813,155,0.38499410169304543,0.3367498985863762,0.0,0.971875011920929,41.45283018867924,21.43754952707704,2.0,64.0,1.7170299142599106,0.21597970835864544,0.019880794614437036,0.0189394426997751,0.07886485082726255,0.38499410169304543,0.3367498985863762,0.0,0.971875011920929
83,169984,1169.1539972645128,157,0.38253125101327895,0.3855323921763745,0.0,0.9859374761581421,40.78,24.36907056085644,1.0,64.0,1.7239128723740578,0.1903099692426622,0.0161750034931174,0.021494634944247082,0.08219497177329634,0.38253125101327895,0.3855323921763745,0.0,0.9859374761581421
