update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,535.3624947109959,3,0.17275390587747097,0.27753375194916935,0.0,0.7890625,53.9375,16.74055237290574,15.0,64.0,1.929597094655037,-0.06599237490445375,-0.09373512957245111,0.01512308418750763,0.05872375963521452,0.17275390587747097,0.27753375194916935,0.0,0.7890625
2,4096,1733.3877216291305,5,0.1798564211742298,0.3145712200076428,0.0,0.971875011920929,53.32432432432432,19.57391266394879,2.0,64.0,1.924156740307808,-0.018377224099822342,-0.05543502978980541,0.01220534322783351,0.04007556494921294,0.1798564211742298,0.3145712200076428,0.0,0.971875011920929
3,6144,1788.3271918365053,6,0.1323784722222222,0.2848505103963557,0.0,0.971875011920929,56.166666666666664,17.745891543302825,2.0,64.0,1.9211096167564392,0.00979035835916875,-0.022640450624749064,0.007930777792353183,0.02945168791164998,0.1323784722222222,0.2848505103963557,0.0,0.971875011920929
4,8192,1730.1571901066482,7,0.15586993178805789,0.28693448292764134,0.0,0.9156249761581421,54.83783783783784,17.642873936251434,6.0,64.0,1.8932016640901566,0.04303044290281832,-0.025355223566293716,0.010873558407183737,0.04189441381635852,0.15586993178805789,0.28693448292764134,0.0,0.9156249761581421
5,10240,1774.556954828815,8,0.07918198582004099,0.22838067537275658,0.0,0.901562511920929,59.205882352941174,14.083322242919952,7.0,64.0,1.8959687054157257,0.023562989430502057,-0.005633330132695846,0.005457879567984492,0.02556933964518105,0.07918198582004099,0.22838067537275658,0.0,0.901562511920929
6,12288,1855.2550103065707,9,0.23493303606907526,0.35694178413216765,0.0,0.9859374761581421,49.833333333333336,22.43075765302833,1.0,64.0,1.9013675153255463,0.05402144743129611,-0.0219350274419412,0.012693973432760686,0.0402263864394843,0.23493303606907526,0.35694178413216765,0.0,0.9859374761581421
7,14336,1836.047724779694,10,0.15363175764277176,0.2845241721936224,0.0,0.971875011920929,55.189189189189186,17.628045587485808,2.0,64.0,1.8913873732089996,0.061430138535797596,-0.006915425196439173,0.00872189091751352,0.03808533261332092,0.15363175764277176,0.2845241721936224,0.0,0.971875011920929
8,16384,1795.450180058479,12,0.22765624821186065,0.3433131432595818,0.0,0.9437500238418579,50.3,21.397663423841397,4.0,64.0,1.8697935044765472,0.07763108238577843,-0.021624905872158706,0.015461502014659345,0.052481934105258574,0.22765624821186065,0.3433131432595818,0.0,0.9437500238418579
9,18432,1839.5301971139072,13,0.24759908274906436,0.33192236455180957,0.0,0.9859374761581421,49.34146341463415,20.562349865829027,1.0,64.0,1.8630772083997726,0.09275211300700903,-0.020724748726934195,0.01253907463978976,0.04758832665099262,0.24759908274906436,0.33192236455180957,0.0,0.9859374761581421
10,20480,1752.9155129102496,14,0.22023809452851614,0.31927840918922984,0.0,0.9859374761581421,51.04761904761905,19.73630010792584,1.0,64.0,1.8428256958723068,0.11294210702180862,-0.00518536727213359,0.011931347660720348,0.04995437707253514,0.22023809452851614,0.31927840918922984,0.0,0.9859374761581421
11,22528,1771.1201692535733,15,0.26758721124294194,0.3396603842896523,0.0,0.971875011920929,48.27906976744186,21.242044290658452,2.0,64.0,1.8337502926588058,0.11859912052750587,-0.0102396969741676,0.013389012077823281,0.0639149885063985,0.26758721124294194,0.3396603842896523,0.0,0.971875011920929
12,24576,1738.821477341506,16,0.239992560730094,0.34100757252630953,0.0,0.9437500238418579,49.642857142857146,21.20626752431755,4.0,64.0,1.8288069516420364,0.11885115318000317,-0.0009478426945861429,0.01632591534871608,0.07102211030420019,0.239992560730094,0.34100757252630953,0.0,0.9437500238418579
13,26624,1808.0791637391278,17,0.2516796845942736,0.3325004693152157,0.0,0.957812488079071,49.125,20.61696813306942,3.0,64.0,1.8501840680837631,0.12029691506177187,-0.0028371463995426893,0.013645589468069375,0.05347800653272899,0.2516796845942736,0.3325004693152157,0.0,0.957812488079071
14,28672,1877.2038392279585,18,0.2533917692376346,0.34604484696981846,0.0,0.9437500238418579,48.75609756097561,21.478043794972915,4.0,64.0,1.8472512811422348,0.1317968526855111,-0.0011460562673164532,0.016383829759433866,0.06862210761950502,0.2533917692376346,0.34604484696981846,0.0,0.9437500238418579
15,30720,1813.322340449112,20,0.3157986119389534,0.374838540324947,0.0,0.9156249761581421,45.17777777777778,23.811564780248073,6.0,64.0,1.8569564819335938,0.13162789773195982,-0.018127001178982027,0.021979366894811392,0.0733882883908702,0.3157986119389534,0.374838540324947,0.0,0.9156249761581421
16,32768,1909.2485664968112,21,0.1594618053899871,0.26694625046045245,0.0,0.8734375238418579,54.833333333333336,16.09606577190008,9.0,64.0,1.8589106500148773,0.10917492769658566,0.004848111013416201,0.008955908007919788,0.04433411093629083,0.1594618053899871,0.26694625046045245,0.0,0.8734375238418579
17,34816,1800.3817492298542,22,0.15703124904798138,0.2949516200965318,0.0,0.9859374761581421,54.611111111111114,18.173970668968938,1.0,64.0,1.8362922966480255,0.09186828229576349,0.014884463686030358,0.007489143288694322,0.040951851022061954,0.15703124904798138,0.2949516200965318,0.0,0.9859374761581421
18,36864,1722.5661883551234,23,0.3306790848190968,0.3815551628946221,0.0,0.9859374761581421,43.90384615384615,23.98257349328772,1.0,64.0,1.8006613999605179,0.12542465515434742,-0.03166601527482271,0.023847853764891624,0.08628875949069603,0.3306790848190968,0.3815551628946221,0.0,0.9859374761581421
19,38912,1763.1861965485214,24,0.2839026153087616,0.34571690924129495,0.0,0.9296875,46.95348837209303,21.368258886284117,5.0,64.0,1.8077526539564133,0.15313919261097908,-0.0009689641301520169,0.01752977049909532,0.06829733851453382,0.2839026153087616,0.34571690924129495,0.0,0.9296875
20,40960,1765.3846722340074,25,0.3086103727208807,0.3708368010352539,0.0,0.971875011920929,45.38297872340426,23.28048510817349,2.0,64.0,1.7991707921028137,0.15622437931597233,-0.0029186271713115275,0.018183658830821514,0.07154639448902113,0.3086103727208807,0.3708368010352539,0.0,0.971875011920929
21,43008,1817.5351352952564,27,0.3179505824349647,0.3813615849270138,0.0,0.971875011920929,44.69767441860465,24.000518292582793,2.0,64.0,1.7928704172372818,0.13968230318278074,-0.003877380906487815,0.018766382010653615,0.07407552774969074,0.3179505824349647,0.3813615849270138,0.0,0.971875011920929
22,45056,1669.617758026423,28,0.3465494786699613,0.366918528417651,0.0,0.957812488079071,43.208333333333336,23.08043754399431,3.0,64.0,1.7610151916742325,0.15828056633472443,-0.024661851697601378,0.022398451808840036,0.09302391060799102,0.3465494786699613,0.366918528417651,0.0,0.957812488079071
