Wall time,Step,Value
1753489482.9997196,1966080,605.0
1753489508.917799,1982464,606.0
1753489532.1407735,1998848,606.0
1753489557.676385,2015232,607.0
1753489583.5218937,2031616,607.0
1753489606.7125638,2048000,608.0
1753489632.6780906,2064384,608.0
1753489658.2933943,2080768,608.0
1753489684.4046228,2097152,608.0
1753489707.776603,2113536,609.0
1753489733.9869988,2129920,609.0
1753489759.6180298,2146304,609.0
1753489785.2998421,2162688,609.0
1753489809.0669632,2179072,610.0
1753489834.77868,2195456,610.0
1753489860.551351,2211840,610.0
1753489886.2803745,2228224,610.0
1753489910.260447,2244608,611.0
1753489935.8401554,2260992,611.0
1753489961.4317644,2277376,611.0
1753489987.012469,2293760,611.0
1753490010.9369915,2310144,612.0
1753490036.6797793,2326528,612.0
1753490062.603432,2342912,612.0
1753490088.4299357,2359296,612.0
1753490111.9408998,2375680,613.0
1753490137.5055618,2392064,613.0
1753490164.1660292,2408448,613.0
1753490190.4704106,2424832,613.0
1753490214.7407787,2441216,613.0
1753490241.1194532,2457600,613.0
1753490267.8968294,2473984,613.0
1753490293.7104187,2490368,614.0
1753490317.9514208,2506752,614.0
1753490344.9183476,2523136,614.0
1753490371.8524303,2539520,614.0
1753490398.2193863,2555904,614.0
1753490422.7182107,2572288,614.0
1753490448.9717233,2588672,614.0
1753490474.9984658,2605056,614.0
1753490501.2401872,2621440,614.0
1753490524.942757,2637824,615.0
1753490551.19407,2654208,615.0
1753490577.0737176,2670592,615.0
1753490602.8982737,2686976,615.0
1753490627.7449517,2703360,615.0
1753490656.2611175,2719744,615.0
1753490684.771872,2736128,615.0
1753490710.6401649,2752512,615.0
1753490734.2042248,2768896,615.0
1753490760.153331,2785280,615.0
1753490786.1595783,2801664,616.0
1753490811.9214842,2818048,616.0
1753490835.1500995,2834432,616.0
1753490860.7718308,2850816,616.0
1753490886.6941817,2867200,616.0
1753490912.621135,2883584,616.0
1753490935.8476896,2899968,617.0
1753490961.5306597,2916352,617.0
1753490987.5573013,2932736,617.0
1753491013.852645,2949120,617.0
1753491037.0770457,2965504,617.0
1753491064.116537,2981888,617.0
1753491088.9629414,2998272,618.0
