Wall time,Step,Value
1753234327.7638066,3162112,1261.0
1753234338.6621506,3178496,1262.0
1753234351.3370957,3194880,1262.0
1753234363.957186,3211264,1263.0
1753234375.3052099,3227648,1263.0
1753234388.4998708,3244032,1263.0
1753234399.80435,3260416,1264.0
1753234412.5237246,3276800,1264.0
1753234425.210326,3293184,1264.0
1753234436.2963758,3309568,1265.0
1753234448.9464464,3325952,1265.0
1753234459.8805273,3342336,1266.0
1753234473.0069025,3358720,1266.0
1753234485.4699767,3375104,1267.0
1753234496.497277,3391488,1267.0
1753234509.0517569,3407872,1268.0
1753234520.0010662,3424256,1269.0
1753234533.3577874,3440640,1268.0
1753234545.8211799,3457024,1269.0
1753234556.758084,3473408,1269.0
1753234569.4449265,3489792,1270.0
1753234580.9150636,3506176,1270.0
1753234593.346109,3522560,1270.0
1753234605.89673,3538944,1271.0
1753234616.858343,3555328,1271.0
1753234629.4399624,3571712,1272.0
1753234640.4742298,3588096,1272.0
1753234653.5520408,3604480,1272.0
1753234666.1867115,3620864,1272.0
1753234677.4313834,3637248,1273.0
1753234690.7231178,3653632,1273.0
1753234701.7572236,3670016,1274.0
1753234714.4026666,3686400,1274.0
1753234727.0687017,3702784,1274.0
1753234738.094305,3719168,1275.0
1753234750.7736423,3735552,1275.0
1753234763.72345,3751936,1275.0
1753234776.6364114,3768320,1275.0
1753234789.3003209,3784704,1275.0
1753234800.5668697,3801088,1276.0
1753234813.704765,3817472,1275.0
1753234826.1599503,3833856,1276.0
1753234839.3208597,3850240,1275.0
1753234851.7890084,3866624,1276.0
1753234862.758004,3883008,1276.0
1753234875.8304477,3899392,1276.0
1753234887.2225664,3915776,1277.0
1753234899.7990243,3932160,1277.0
1753234912.4296165,3948544,1277.0
1753234923.3858812,3964928,1278.0
1753234936.6313016,3981312,1278.0
1753234948.8797896,3997696,1278.0
1753234961.4259417,4014080,1278.0
1753234974.0510063,4030464,1278.0
1753234985.2038066,4046848,1279.0
1753234998.866559,4063232,1278.0
1753235011.9084253,4079616,1278.0
1753235024.6484952,4096000,1278.0
1753235037.3802962,4112384,1278.0
1753235048.627092,4128768,1279.0
1753235062.623086,4145152,1278.0
1753235074.6711876,4161536,1279.0
1753235087.4150562,4177920,1279.0
1753235100.108279,4194304,1279.0
1753235111.4453769,4210688,1279.0
1753235126.3121574,4227072,1279.0
1753235137.755559,4243456,1279.0
1753235150.6414168,4259840,1279.0
1753235162.4846442,4276224,1279.0
1753235175.3956625,4292608,1279.0
1753235188.7524095,4308992,1279.0
1753235199.7214754,4325376,1280.0
1753235212.2892098,4341760,1280.0
1753235223.2526543,4358144,1281.0
1753235236.9181738,4374528,1280.0
1753235249.9747112,4390912,1280.0
1753235261.6189702,4407296,1281.0
1753235274.1437833,4423680,1281.0
1753235285.427219,4440064,1281.0
1753235297.941683,4456448,1281.0
1753235310.5296347,4472832,1282.0
1753235321.5141118,4489216,1282.0
